team,abbr,playoffs_made
Hawks,ATL,12
Celtics,BOS,18
Nets,BKN,7
Bulls,CHI,12
Mavericks,DAL,18
Nuggets,DEN,14
Warriors,GSW,9
Grizzlies,MEM,12
Heat,MIA,17
Bucks,MIL,14
Timberwolves,MIN,7
Pelicans,NOP,3
76ers,PHI,14
Suns,PHX,10
Raptors,TOR,13
Jazz,UTA,15
Clippers,LAC,10
Lakers,LAL,15
Knicks,NYK,7
Trail Blazers,POR,15
Wizards,WAS,9
Rockets,HOU,13
Pacers,IND,16
Thunder,OKC,10
Magic,ORL,11
Pistons,DET,11
Spurs,SAS,20
Cavaliers,CLE,9
Hornets,CHA,4
Bobcats*,CHA*,2
Hornets*,NOH*,5
Nets*,NJN*,6
Kings,SAC,7
SuperSonics*,SEA*,3
