season,lg,team,abbreviation,playoffs,g,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
2022,NBA,San Antonio Spurs,SAS,False,82.0,19805.0,3546.0,7601.0,0.467,925.0,2626.0,0.352,2621.0,4975.0,0.527,1262.0,1673.0,0.754,901.0,2815.0,3716.0,2289.0,626.0,403.0,1042.0,1483.0,9279.0
2021,NBA,San Antonio Spurs,SAS,False,72.0,17480.0,3014.0,6518.0,0.462,716.0,2046.0,0.35,2298.0,4472.0,0.514,1254.0,1584.0,0.792,669.0,2489.0,3158.0,1759.0,505.0,366.0,821.0,1293.0,7998.0
2020,NBA,San Antonio Spurs,SAS,False,71.0,17215.0,2995.0,6350.0,0.472,760.0,2021.0,0.376,2235.0,4329.0,0.516,1348.0,1664.0,0.81,640.0,2530.0,3170.0,1751.0,518.0,390.0,895.0,1377.0,8098.0
2019,NBA,San Antonio Spurs,SAS,True,82.0,19805.0,3468.0,7248.0,0.478,812.0,2071.0,0.392,2656.0,5177.0,0.513,1408.0,1720.0,0.819,757.0,2910.0,3667.0,2013.0,501.0,386.0,992.0,1487.0,9156.0
2018,NBA,San Antonio Spurs,SAS,True,82.0,19730.0,3202.0,6999.0,0.457,696.0,1977.0,0.352,2506.0,5022.0,0.499,1324.0,1715.0,0.772,849.0,2777.0,3626.0,1868.0,628.0,460.0,1078.0,1408.0,8424.0
2017,NBA,San Antonio Spurs,SAS,True,82.0,19805.0,3222.0,6864.0,0.469,753.0,1927.0,0.391,2469.0,4937.0,0.5,1440.0,1806.0,0.797,821.0,2777.0,3598.0,1954.0,655.0,484.0,1101.0,1498.0,8637.0
2016,NBA,San Antonio Spurs,SAS,True,82.0,19705.0,3289.0,6797.0,0.484,570.0,1518.0,0.375,2719.0,5279.0,0.515,1342.0,1672.0,0.803,770.0,2831.0,3601.0,2010.0,677.0,485.0,1071.0,1433.0,8490.0
2015,NBA,San Antonio Spurs,SAS,True,82.0,19955.0,3208.0,6854.0,0.468,677.0,1847.0,0.367,2531.0,5007.0,0.505,1368.0,1754.0,0.78,806.0,2772.0,3578.0,2000.0,657.0,444.0,1146.0,1564.0,8461.0
2014,NBA,San Antonio Spurs,SAS,True,82.0,19755.0,3326.0,6844.0,0.486,698.0,1757.0,0.397,2628.0,5087.0,0.517,1289.0,1642.0,0.785,762.0,2786.0,3548.0,2064.0,604.0,420.0,1180.0,1495.0,8639.0
2013,NBA,San Antonio Spurs,SAS,True,82.0,19880.0,3210.0,6675.0,0.481,663.0,1764.0,0.376,2547.0,4911.0,0.519,1365.0,1725.0,0.791,666.0,2721.0,3387.0,2058.0,695.0,446.0,1206.0,1427.0,8448.0
2012,NBA,San Antonio Spurs,SAS,True,66.0,15940.0,2611.0,5463.0,0.478,552.0,1405.0,0.393,2059.0,4058.0,0.507,1067.0,1427.0,0.748,683.0,2153.0,2836.0,1528.0,490.0,293.0,895.0,1143.0,6841.0
2011,NBA,San Antonio Spurs,SAS,True,82.0,19780.0,3148.0,6628.0,0.475,685.0,1727.0,0.397,2463.0,4901.0,0.503,1521.0,1984.0,0.767,829.0,2603.0,3432.0,1836.0,602.0,372.0,1101.0,1556.0,8502.0
2010,NBA,San Antonio Spurs,SAS,True,82.0,19780.0,3150.0,6659.0,0.473,554.0,1547.0,0.358,2596.0,5112.0,0.508,1458.0,1969.0,0.74,887.0,2621.0,3508.0,1829.0,516.0,381.0,1116.0,1669.0,8312.0
2009,NBA,San Antonio Spurs,SAS,True,82.0,19905.0,3042.0,6534.0,0.466,625.0,1620.0,0.386,2417.0,4914.0,0.492,1249.0,1641.0,0.761,728.0,2638.0,3366.0,1736.0,474.0,329.0,963.0,1546.0,7958.0
2008,NBA,San Antonio Spurs,SAS,True,82.0,19730.0,2938.0,6424.0,0.457,594.0,1610.0,0.369,2344.0,4814.0,0.487,1350.0,1774.0,0.761,771.0,2612.0,3383.0,1718.0,521.0,337.0,1035.0,1537.0,7820.0
2007,NBA,San Antonio Spurs,SAS,True,82.0,19780.0,2999.0,6328.0,0.474,595.0,1561.0,0.381,2404.0,4767.0,0.504,1486.0,1980.0,0.751,761.0,2577.0,3338.0,1814.0,587.0,417.0,1137.0,1588.0,8079.0
2006,NBA,San Antonio Spurs,SAS,True,82.0,19805.0,2993.0,6342.0,0.472,524.0,1362.0,0.385,2469.0,4980.0,0.496,1327.0,1891.0,0.702,851.0,2548.0,3399.0,1717.0,543.0,467.0,1126.0,1714.0,7837.0
2005,NBA,San Antonio Spurs,SAS,True,82.0,19805.0,2923.0,6450.0,0.453,507.0,1395.0,0.363,2416.0,5055.0,0.478,1535.0,2120.0,0.724,987.0,2489.0,3476.0,1771.0,613.0,543.0,1126.0,1717.0,7888.0
2004,NBA,San Antonio Spurs,SAS,True,82.0,19755.0,2842.0,6434.0,0.442,408.0,1140.0,0.358,2434.0,5294.0,0.46,1409.0,2069.0,0.681,1029.0,2669.0,3698.0,1676.0,661.0,537.0,1203.0,1667.0,7501.0
2003,NBA,San Antonio Spurs,SAS,True,82.0,19830.0,2908.0,6297.0,0.462,449.0,1270.0,0.354,2459.0,5027.0,0.489,1591.0,2194.0,0.725,939.0,2556.0,3495.0,1636.0,629.0,529.0,1295.0,1672.0,7856.0
